"Dataset","Group","GID","CGMS1","CGMS2","MCMDS","DM","PLTHT","BRNHT1","HI","logFYLD","logTOPYLD","logRTNO"
"IITAaugmented","nrTP","CR14B67:250134543",-0.328397962237168,-0.106281897185276,-0.0361626927551961,1.68599999485072,-2.22566617713305,5.39074773676434,-0.0939457876030744,-0.356948676397762,-0.015097328615411,-0.0648372592556065
"IITAaugmented","nrTP","CR15B3:250107844",-0.231464079952337,-0.0627275778583155,-0.260247982622716,-0.0423263500957646,-6.29491729766297,5.42169026603185,-0.0177630263327792,-0.156114921859415,-0.0927561933517428,0.0812934174999664
"IITAaugmented","nrTP","CR15B4:250107795",-0.0541601618563572,0.0178751212867132,-0.0193638029765784,1.59351776035919,-4.07987050232893,6.8603554909962,-0.0100638228533643,0.0589143363682105,0.0642677150214068,0.124447585738109
"IITAaugmented","nrTP","CR15B62:250107793",-0.252593771963259,-0.0903693501082686,-0.0478233824426164,1.18961065351721,-0.903193089737482,5.56886931035692,-0.0712009560383017,-0.282515152150176,-0.0254461808985165,0.00841154583915118
"IITAaugmented","nrTP","CR15B7:250107830",-0.325594543659751,-0.101515957541436,-0.0766059554693088,2.07984574368593,-2.85558216471134,4.43224032998392,-0.0961252168948662,-0.343445263872821,-0.0125273833855325,-0.0790361409422663
"IITAaugmented","nrTP","CR20A2:250107867",-0.0358120163116077,0.0145169151581428,0.0380707028062058,-0.828273201561765,4.04534397252973,3.55059760833842,-0.0305064744652798,-0.0565457150674062,0.104314870610636,-0.0534415834552704
"IITAaugmented","nrTP","CR247:250134593",-0.177618885732791,-0.157301570512017,-0.0373131443936133,0.0675256665229345,0.815949212275887,3.32006171884371,-0.0213113702642573,-0.161543297262691,-0.0929320600820139,-0.093738805234033
"IITAaugmented","nrTP","CR249:250134541",0.178752240165359,0.0625574673721142,0.242598802315362,1.12384653616958,-6.13933343516263,-0.318843044658398,0.0530596263226271,0.169289113192965,-0.0689654708545134,0.177555587527722
"IITAaugmented","nrTP","CR346:250134490",0.179890771838069,8.50784865986751e-05,-0.0346770931043607,2.19619776536601,0.298762804326654,10.2283586315843,-0.0208361663985344,-0.22519057911508,-0.151624938746254,-0.0704160032496789
"IITAaugmented","nrTP","CR3510:250134475",0.177131651345739,0.000931643007610367,-0.0401253489542621,2.65223217921086,2.15527711101322,8.94216272356691,-0.0186977057511911,-0.201864807477186,-0.136140059476772,-0.0551601869408195
